Anidulafungin (CLSI)_I_binary,Caspofungin (CLSI)_I_binary,Micafungin (CLSI)_I_binary,Fluconazole (CLSI)_I_binary,Voriconazole (CLSI)_I_binary,Species,Country,Year,data_completeness
0.0,0.0,0.0,0.0,0.0,Candida albicans,Ireland,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,Ireland,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,Ireland,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,Ireland,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,USA,2010,5
0.0,0.0,0.0,1.0,,Candida glabrata,Ireland,2010,4
0.0,0.0,0.0,1.0,1.0,Candida tropicalis,USA,2010,5
0.0,0.0,0.0,0.0,0.0,Candida tropicalis,Israel,2010,5
0.0,0.0,0.0,1.0,,Candida glabrata,USA,2010,4
0.0,0.0,0.0,1.0,,Candida glabrata,USA,2010,4
0.0,0.0,0.0,1.0,,Candida glabrata,USA,2010,4
0.0,0.0,0.0,1.0,,Candida glabrata,USA,2010,4
0.0,0.0,0.0,,0.0,Candida krusei,USA,2010,4
0.0,0.0,0.0,0.0,0.0,Candida albicans,USA,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,Ireland,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,Ireland,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,Ireland,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,Ireland,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,Ireland,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,Ireland,2010,5
0.0,0.0,0.0,0.0,0.0,Candida tropicalis,USA,2010,5
0.0,0.0,0.0,0.0,1.0,Candida tropicalis,USA,2010,5
0.0,0.0,0.0,0.0,0.0,Candida tropicalis,USA,2010,5
0.0,0.0,0.0,1.0,,Candida glabrata,USA,2010,4
0.0,0.0,0.0,0.0,0.0,Candida albicans,USA,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,USA,2010,5
0.0,0.0,0.0,0.0,0.0,Candida parapsilosis,USA,2010,5
0.0,0.0,0.0,1.0,,Candida glabrata,Ireland,2010,4
0.0,0.0,0.0,0.0,0.0,Candida albicans,Ireland,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,Ireland,2010,5
0.0,0.0,0.0,1.0,,Candida glabrata,USA,2010,4
0.0,0.0,0.0,0.0,0.0,Candida parapsilosis,Mexico,2010,5
0.0,0.0,0.0,0.0,0.0,Candida parapsilosis,Mexico,2010,5
0.0,0.0,0.0,1.0,,Candida glabrata,USA,2010,4
0.0,0.0,0.0,0.0,0.0,Candida parapsilosis,USA,2010,5
0.0,0.0,0.0,0.0,0.0,Candida tropicalis,USA,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,Ireland,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,Ireland,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,USA,2010,5
0.0,0.0,0.0,,0.0,Candida krusei,USA,2010,4
0.0,0.0,0.0,0.0,0.0,Candida albicans,USA,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,USA,2010,5
0.0,0.0,0.0,0.0,0.0,Candida parapsilosis,USA,2010,5
0.0,0.0,0.0,1.0,,Candida glabrata,USA,2010,4
0.0,0.0,0.0,1.0,0.0,Candida albicans,Ireland,2010,5
0.0,0.0,0.0,,0.0,Candida krusei,Ireland,2010,4
0.0,0.0,0.0,0.0,0.0,Candida parapsilosis,USA,2010,5
0.0,0.0,0.0,1.0,,Candida glabrata,USA,2010,4
0.0,0.0,0.0,1.0,,Candida glabrata,USA,2010,4
0.0,0.0,0.0,0.0,0.0,Candida albicans,USA,2010,5
0.0,0.0,0.0,0.0,0.0,Candida tropicalis,USA,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,USA,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,USA,2010,5
1.0,0.0,0.0,0.0,0.0,Candida parapsilosis,USA,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,USA,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,USA,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,USA,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,Ireland,2010,5
0.0,0.0,0.0,0.0,0.0,Candida tropicalis,Ireland,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,Israel,2010,5
0.0,0.0,0.0,0.0,0.0,Candida albicans,Israel,2010,5
